report_date,Independent Bank,The Bank of Fayette County,Financial Federal Bank,Evolve Bank & Trust
2013-12-31,677393000.0,281418000.0,220690000.0,197129000.0
2014-03-31,709680000.0,283011000.0,221092000.0,201495000.0
2014-06-30,733815000.0,300561000.0,241710000.0,250134000.0
2014-09-30,701932000.0,282976000.0,251867000.0,300312000.0
2014-12-31,740307000.0,276867000.0,248066000.0,273703000.0
2015-03-31,746048000.0,284334000.0,254769000.0,267381000.0
2015-06-30,767240000.0,306722000.0,280566000.0,260151000.0
2015-09-30,791023000.0,306445000.0,267360000.0,279919000.0
2015-12-31,827208000.0,308240000.0,296795000.0,266707000.0
2016-03-31,825881000.0,328499000.0,311695000.0,270930000.0
2016-06-30,846396000.0,383539000.0,347219000.0,267949000.0
2016-09-30,888434000.0,373691000.0,336667000.0,300017000.0
2016-12-31,878414000.0,385886000.0,349087000.0,315048000.0
2017-03-31,855259000.0,394452000.0,347066000.0,318552000.0
2017-06-30,837935000.0,433553000.0,353185000.0,357341000.0
2017-09-30,844453000.0,441832000.0,352424000.0,360441000.0
2017-12-31,850246000.0,452160000.0,375562000.0,368649000.0
2018-03-31,813374000.0,468637000.0,381959000.0,359699000.0
2018-06-30,854963000.0,483478000.0,380369000.0,369538000.0
2018-09-30,828594000.0,498957000.0,416819000.0,385845000.0
2018-12-31,892443000.0,526007000.0,443672000.0,383824000.0
2019-03-31,879622000.0,554170000.0,458992000.0,399546000.0
2019-06-30,872743000.0,576363000.0,467013000.0,421764000.0
2019-09-30,886992000.0,567356000.0,480677000.0,434050000.0
2019-12-31,915613000.0,579978000.0,476287000.0,373643000.0
2020-03-31,902906000.0,591346000.0,511765000.0,372671000.0
2020-06-30,1017484000.0,634744000.0,526520000.0,405827000.0
2020-09-30,1025308000.0,654604000.0,561567000.0,453767000.0
2020-12-31,1059258000.0,643372000.0,611598000.0,514782000.0
2021-03-31,1042137000.0,649132000.0,631668000.0,497530000.0
2021-06-30,1045611000.0,643553000.0,649965000.0,508484000.0
2021-09-30,1084230000.0,674850000.0,632315000.0,461865000.0
2021-12-31,1137217000.0,726364000.0,632117000.0,639128000.0
2022-03-31,1135330000.0,749545000.0,645517000.0,615653000.0
2022-06-30,1082026000.0,753550000.0,590691000.0,1123686000.0
2022-09-30,1074639000.0,735479000.0,622602000.0,1083838000.0
2022-12-31,1111693000.0,753355000.0,647691000.0,1541644000.0
2023-03-31,1104277000.0,749179000.0,667524000.0,1527794000.0
2023-06-30,1137580000.0,735418000.0,671702000.0,1268100000.0
2023-09-30,1173687000.0,733177000.0,703483000.0,1234830000.0
2023-12-31,1248982000.0,749353000.0,740525000.0,989260000.0
